frequency_kHz,TS_dB,model,bubble_diameter_m
1.0,-71.18372518756223,Medwin_Clay,
1.002306007632413,-71.1579871387473,Medwin_Clay,
1.004617332936027,-71.13223452670661,Medwin_Clay,
1.006933988173432,-71.10646728222058,Medwin_Clay,
1.0092559856354961,-71.08068533586717,Medwin_Clay,
1.01158333764143,-71.05488861802003,Medwin_Clay,
1.0139160565388532,-71.02907705884625,Medwin_Clay,
1.016254154703858,-71.00325058830452,Medwin_Clay,
1.0185976445410767,-70.97740913614294,Medwin_Clay,
1.0209465384837464,-70.95155263189699,Medwin_Clay,
1.0233008489937756,-70.92568100488741,Medwin_Clay,
1.0256605885618102,-70.89979418421821,Medwin_Clay,
1.028025769707299,-70.87389209877445,Medwin_Clay,
1.0303964049785614,-70.84797467722018,Medwin_Clay,
1.032772506952853,-70.82204184799635,Medwin_Clay,
1.0351540882364327,-70.79609353931863,Medwin_Clay,
1.0375411614646295,-70.77012967917524,Medwin_Clay,
1.0399337393019097,-70.74415019532488,Medwin_Clay,
1.0423318344419439,-70.71815501529444,Medwin_Clay,
1.044735459607674,-70.69214406637693,Medwin_Clay,
1.047144627551382,-70.66611727562923,Medwin_Clay,
1.0495593510547558,-70.64007456986987,Medwin_Clay,
1.0519796429289587,-70.61401587567684,Medwin_Clay,
1.0544055160146961,-70.58794111938536,Medwin_Clay,
1.0568369831822846,-70.56185022708564,Medwin_Clay,
1.0592740573317194,-70.53574312462062,Medwin_Clay,
1.0617167513927435,-70.50961973758363,Medwin_Clay,
1.064165078324916,-70.48347999131624,Medwin_Clay,
1.0666190511176807,-70.45732381090588,Medwin_Clay,
1.0690786827904353,-70.43115112118355,Medwin_Clay,
1.0715439863926002,-70.40496184672146,Medwin_Clay,
1.074014975003688,-70.3787559118308,Medwin_Clay,
1.0764916617333724,-70.35253324055927,Medwin_Clay,
1.0789740597215587,-70.32629375668881,Medwin_Clay,
1.0814621821384522,-70.30003738373314,Medwin_Clay,
1.0839560421846297,-70.27376404493545,Medwin_Clay,
1.0864556530911078,-70.24747366326592,Medwin_Clay,
1.0889610281194142,-70.2211661614194,Medwin_Clay,
1.091472180561658,-70.19484146181286,Medwin_Clay,
1.0939891237405999,-70.16849948658299,Medwin_Clay,
1.0965118710097226,-70.14214015758377,Medwin_Clay,
1.0990404357533026,-70.11576339638394,Medwin_Clay,
1.1015748313864804,-70.08936912426454,Medwin_Clay,
1.1041150713553318,-70.06295726221636,Medwin_Clay,
1.1066611691369395,-70.03652773093746,Medwin_Clay,
1.1092131382394645,-70.01008045083059,Medwin_Clay,
1.1117709922022176,-69.98361534200065,Medwin_Clay,
1.1143347445957315,-69.9571323242521,Medwin_Clay,
1.1169044090218323,-69.93063131708641,Medwin_Clay,
1.1194799991137125,-69.9041122396994,Medwin_Clay,
1.1220615285360025,-69.87757501097863,Medwin_Clay,
1.1246490109848437,-69.8510195495008,Medwin_Clay,
1.1272424601879607,-69.82444577352905,Medwin_Clay,
1.1298418899047342,-69.79785360101025,Medwin_Clay,
1.1324473139262745,-69.77124294957238,Medwin_Clay,
1.1350587460754944,-69.74461373652181,Medwin_Clay,
1.1376762002071816,-69.71796587884053,Medwin_Clay,
1.1402996902080742,-69.69129929318338,Medwin_Clay,
1.1429292299969322,-69.66461389587538,Medwin_Clay,
1.1455648335246134,-69.63790960290886,Medwin_Clay,
1.1482065147741451,-69.61118632994071,Medwin_Clay,
1.1508542877608008,-69.58444399228951,Medwin_Clay,
1.1535081665321725,-69.55768250493271,Medwin_Clay,
1.1561681651682465,-69.5309017825038,Medwin_Clay,
1.1588342977814776,-69.50410173928937,Medwin_Clay,
1.1615065785168637,-69.47728228922625,Medwin_Clay,
1.1641850215520217,-69.45044334589858,Medwin_Clay,
1.1668696410972617,-69.42358482253488,Medwin_Clay,
1.169560451395663,-69.39670663200506,Medwin_Clay,
1.17225746672315,-69.36980868681746,Medwin_Clay,
1.1749607013885668,-69.34289089911586,Medwin_Clay,
1.1776701697337544,-69.31595318067637,Medwin_Clay,
1.1803858861336256,-69.28899544290455,Medwin_Clay,
1.1831078649962425,-69.26201759683215,Medwin_Clay,
1.1858361207628918,-69.23501955311418,Medwin_Clay,
1.1885706679081622,-69.2080012220257,Medwin_Clay,
1.1913115209400207,-69.18096251345871,Medwin_Clay,
1.19405869439989,-69.153903336919,Medwin_Clay,
1.1968122028627255,-69.126823601523,Medwin_Clay,
1.1995720609370921,-69.09972321599452,Medwin_Clay,
1.2023382832652425,-69.07260208866154,Medwin_Clay,
1.2051108845231946,-69.04546012745297,Medwin_Clay,
1.2078898794208093,-69.01829723989542,Medwin_Clay,
1.2106752827018683,-68.99111333310977,Medwin_Clay,
1.2134671091441527,-68.963908313808,Medwin_Clay,
1.2162653735595215,-68.93668208828976,Medwin_Clay,
1.2190700907939893,-68.90943456243899,Medwin_Clay,
1.2218812757278068,-68.88216564172053,Medwin_Clay,
1.224698943275538,-68.85487523117675,Medwin_Clay,
1.2275231083861395,-68.82756323542401,Medwin_Clay,
1.2303537860430414,-68.80022955864925,Medwin_Clay,
1.2331909912642252,-68.77287410460644,Medwin_Clay,
1.2360347391023034,-68.74549677661312,Medwin_Clay,
1.2388850446446011,-68.71809747754678,Medwin_Clay,
1.241741923013234,-68.69067610984123,Medwin_Clay,
1.2446053893651898,-68.66323257548315,Medwin_Clay,
1.2474754588924084,-68.63576677600828,Medwin_Clay,
1.2503521468218624,-68.60827861249783,Medwin_Clay,
1.2532354684156377,-68.58076798557478,Medwin_Clay,
1.256125438971015,-68.55323479540013,Medwin_Clay,
1.2590220738205504,-68.52567894166918,Medwin_Clay,
1.2619253883321573,-68.49810032360772,Medwin_Clay,
1.264835397909187,-68.47049883996819,Medwin_Clay,
1.267752117990512,-68.44287438902585,Medwin_Clay,
1.270675564050606,-68.41522686857496,Medwin_Clay,
1.2736057515996275,-68.38755617592479,Medwin_Clay,
1.2765426961835016,-68.35986220789569,Medwin_Clay,
1.2794864133840018,-68.33214486081519,Medwin_Clay,
1.2824369188188343,-68.30440403051392,Medwin_Clay,
1.2853942281417188,-68.27663961232159,Medwin_Clay,
1.2883583570424735,-68.24885150106294,Medwin_Clay,
1.2913293212470967,-68.22103959105364,Medwin_Clay,
1.2943071365178513,-68.19320377609611,Medwin_Clay,
1.2972918186533482,-68.1653439494754,Medwin_Clay,
1.3002833834886298,-68.13746000395498,Medwin_Clay,
1.3032818468952545,-68.10955183177248,Medwin_Clay,
1.3062872247813806,-68.08161932463538,Medwin_Clay,
1.3092995330918502,-68.05366237371679,Medwin_Clay,
1.312318787808275,-68.02568086965104,Medwin_Clay,
1.31534500494912,-67.99767470252928,Medwin_Clay,
1.318378200569789,-67.96964376189514,Medwin_Clay,
1.32141839076271,-67.94158793674019,Medwin_Clay,
1.32446559165742,-67.91350711549948,Medwin_Clay,
1.3275198194206503,-67.88540118604702,Medwin_Clay,
1.3305810902564141,-67.85727003569117,Medwin_Clay,
1.33364942040609,-67.82911355117007,Medwin_Clay,
1.3367248261485096,-67.80093161864696,Medwin_Clay,
1.3398073238000443,-67.7727241237055,Medwin_Clay,
1.3428969297146902,-67.74449095134504,Medwin_Clay,
1.3459936602841565,-67.71623198597587,Medwin_Clay,
1.3490975319379515,-67.68794711141435,Medwin_Clay,
1.35220856114347,-67.65963621087809,Medwin_Clay,
1.3553267644060811,-67.6312991669811,Medwin_Clay,
1.3584521582692153,-67.60293586172872,Medwin_Clay,
1.3615847593144523,-67.57454617651278,Medwin_Clay,
1.3647245841616087,-67.54612999210651,Medwin_Clay,
1.3678716494688272,-67.51768718865942,Medwin_Clay,
1.3710259719326638,-67.48921764569226,Medwin_Clay,
1.3741875682881772,-67.46072124209184,Medwin_Clay,
1.377356455309017,-67.43219785610579,Medwin_Clay,
1.380532649807513,-67.40364736533732,Medwin_Clay,
1.3837161686347645,-67.37506964673993,Medwin_Clay,
1.3869070286807297,-67.34646457661208,Medwin_Clay,
1.390105246874315,-67.3178320305917,Medwin_Clay,
1.3933108401834646,-67.2891718836509,Medwin_Clay,
1.3965238256152517,-67.26048401009028,Medwin_Clay,
1.3997442202159671,-67.23176828353357,Medwin_Clay,
1.4029720410712112,-67.20302457692192,Medwin_Clay,
1.4062073053059838,-67.17425276250827,Medwin_Clay,
1.4094500300847743,-67.14545271185169,Medwin_Clay,
1.412700232611655,-67.11662429581159,Medwin_Clay,
1.415957930130369,-67.08776738454192,Medwin_Clay,
1.4192231399244255,-67.05888184748534,Medwin_Clay,
1.4224958793171885,-67.02996755336729,Medwin_Clay,
1.4257761656719703,-67.00102437018998,Medwin_Clay,
1.4290640163921224,-66.97205216522646,Medwin_Clay,
1.4323594489211298,-66.94305080501448,Medwin_Clay,
1.4356624807427008,-66.91402015535033,Medwin_Clay,
1.4389731293808625,-66.88496008128271,Medwin_Clay,
1.4422914124000523,-66.85587044710645,Medwin_Clay,
1.4456173474052108,-66.82675111635619,Medwin_Clay,
1.448950952041876,-66.7976019518,Medwin_Clay,
1.4522922439962767,-66.76842281543303,Medwin_Clay,
1.4556412409954265,-66.73921356847086,Medwin_Clay,
1.4589979608072172,-66.7099740713431,Medwin_Clay,
1.462362421240514,-66.68070418368673,Medwin_Clay,
1.4657346401452487,-66.65140376433936,Medwin_Clay,
1.4691146354125157,-66.62207267133256,Medwin_Clay,
1.472502424974667,-66.592710761885,Medwin_Clay,
1.4758980268054054,-66.56331789239562,Medwin_Clay,
1.479301458919882,-66.53389391843665,Medwin_Clay,
1.4827127393747912,-66.5044386947466,Medwin_Clay,
1.4861318862684656,-66.47495207522323,Medwin_Clay,
1.4895589177409732,-66.44543391291633,Medwin_Clay,
1.4929938519742127,-66.4158840600206,Medwin_Clay,
1.4964367071920113,-66.38630236786825,Medwin_Clay,
1.4998875016602191,-66.35668868692176,Medwin_Clay,
1.5033462536868085,-66.32704286676629,Medwin_Clay,
1.50681298162197,-66.29736475610238,Medwin_Clay,
1.5102877038582094,-66.26765420273821,Medwin_Clay,
1.5137704388304463,-66.23791105358197,Medwin_Clay,
1.5172612050161105,-66.20813515463422,Medwin_Clay,
1.520760020935242,-66.17832635097996,Medwin_Clay,
1.5242669051505875,-66.14848448678083,Medwin_Clay,
1.5277818762676993,-66.11860940526712,Medwin_Clay,
1.531304952935035,-66.08870094872967,Medwin_Clay,
1.5348361538440554,-66.05875895851183,Medwin_Clay,
1.5383754977293234,-66.02878327500123,Medwin_Clay,
1.5419230033686044,-65.99877373762142,Medwin_Clay,
1.5454786895829657,-65.96873018482356,Medwin_Clay,
1.549042575236876,-65.93865245407794,Medwin_Clay,
1.552614679238305,-65.90854038186541,Medwin_Clay,
1.556195020538825,-65.87839380366879,Medwin_Clay,
1.559783618133711,-65.84821255396407,Medwin_Clay,
1.5633804910620404,-65.81799646621168,Medwin_Clay,
1.5669856584067952,-65.78774537284754,Medwin_Clay,
1.5705991392949632,-65.75745910527401,Medwin_Clay,
1.5742209528976387,-65.72713749385089,Medwin_Clay,
1.5778511184301254,-65.69678036788619,Medwin_Clay,
1.5814896551520368,-65.66638755562683,Medwin_Clay,
1.5851365823673997,-65.6359588842493,Medwin_Clay,
1.5887919194247562,-65.60549417985014,Medwin_Clay,
1.592455685717266,-65.5749932674364,Medwin_Clay,
1.5961279006828097,-65.54445597091589,Medwin_Clay,
1.5998085838040916,-65.51388211308753,Medwin_Clay,
1.603497754608744,-65.48327151563132,Medwin_Clay,
1.607195432669429,-65.45262399909842,Medwin_Clay,
1.6109016376039442,-65.42193938290106,Medwin_Clay,
1.6146163890753258,-65.39121748530233,Medwin_Clay,
1.6183397067919527,-65.36045812340586,Medwin_Clay,
1.6220716105076523,-65.32966111314538,Medwin_Clay,
1.6258121200218034,-65.29882626927416,Medwin_Clay,
1.6295612551794436,-65.26795340535449,Medwin_Clay,
1.6333190358713718,-65.23704233374674,Medwin_Clay,
1.6370854820342569,-65.20609286559859,Medwin_Clay,
1.6408606136507407,-65.17510481083403,Medwin_Clay,
1.6446444507495455,-65.14407797814214,Medwin_Clay,
1.6484370134055797,-65.11301217496596,Medwin_Clay,
1.6522383217400451,-65.08190720749111,Medwin_Clay,
1.6560483959205432,-65.05076288063424,Medwin_Clay,
1.6598672561611814,-65.01957899803146,Medwin_Clay,
1.6636949227226818,-64.9883553620266,Medwin_Clay,
1.6675314159124872,-64.95709177365926,Medwin_Clay,
1.67137675608487,-64.92578803265297,Medwin_Clay,
1.6752309636410396,-64.89444393740288,Medwin_Clay,
1.6790940590292507,-64.86305928496358,Medwin_Clay,
1.6829660627449117,-64.83163387103664,Medwin_Clay,
1.6868469953306937,-64.80016748995816,Medwin_Clay,
1.6907368773766394,-64.7686599346859,Medwin_Clay,
1.694635729520272,-64.73711099678664,Medwin_Clay,
1.698543572446706,-64.70552046642305,Medwin_Clay,
1.7024604268887542,-64.67388813234069,Medwin_Clay,
1.706386313627041,-64.64221378185468,Medwin_Clay,
1.7103212534901102,-64.61049720083618,Medwin_Clay,
1.7142652673545367,-64.57873817369901,Medwin_Clay,
1.718218376145037,-64.54693648338576,Medwin_Clay,
1.72218060083458,-64.51509191135398,Medwin_Clay,
1.7261519624444983,-64.48320423756206,Medwin_Clay,
1.7301324820446002,-64.45127324045514,Medwin_Clay,
1.7341221807532807,-64.4192986969506,Medwin_Clay,
1.7381210797376347,-64.38728038242357,Medwin_Clay,
1.742129200213568,-64.35521807069227,Medwin_Clay,
1.7461465634459101,-64.32311153400308,Medwin_Clay,
1.7501731907485285,-64.29096054301547,Medwin_Clay,
1.7542091034844391,-64.25876486678683,Medwin_Clay,
1.7582543230659229,-64.22652427275698,Medwin_Clay,
1.7623088709546364,-64.19423852673265,Medwin_Clay,
1.766372768661727,-64.16190739287173,Medwin_Clay,
1.7704460377479476,-64.12953063366716,Medwin_Clay,
1.77452869982377,-64.09710800993099,Medwin_Clay,
1.7786207765495,-64.0646392807779,Medwin_Clay,
1.7827222896353914,-64.03212420360867,Medwin_Clay,
1.7868332608417634,-63.99956253409353,Medwin_Clay,
1.7909537119791143,-63.96695402615514,Medwin_Clay,
1.7950836649082367,-63.93429843195155,Medwin_Clay,
1.7992231415403352,-63.901595501858765,Medwin_Clay,
1.8033721638371416,-63.86884498445325,Medwin_Clay,
1.8075307538110312,-63.836046626494145,Medwin_Clay,
1.811698933525141,-63.803200172905335,Medwin_Clay,
1.8158767250934846,-63.77030536675719,Medwin_Clay,
1.8200641506810717,-63.7373619492482,Medwin_Clay,
1.8242612325040237,-63.70436965968633,Medwin_Clay,
1.8284679928296932,-63.671328235470085,Medwin_Clay,
1.8326844539767817,-63.638237412069515,Medwin_Clay,
1.836910638315457,-63.60509692300681,Medwin_Clay,
1.8411465682674732,-63.57190649983675,Medwin_Clay,
1.8453922663062892,-63.53866587212687,Medwin_Clay,
1.8496477549571877,-63.50537476743743,Medwin_Clay,
1.8539130567973947,-63.472032911301085,Medwin_Clay,
1.8581881944561998,-63.43864002720232,Medwin_Clay,
1.862473190615076,-63.40519583655663,Medwin_Clay,
1.866768068007799,-63.371700058689456,Medwin_Clay,
1.87107284942057,-63.33815241081483,Medwin_Clay,
1.8753875576921348,-63.30455260801373,Medwin_Clay,
1.8797122157139055,-63.27090036321225,Medwin_Clay,
1.884046846430082,-63.2371953871594,Medwin_Clay,
1.8883914728377735,-63.20343738840464,Medwin_Clay,
1.8927461179871212,-63.16962607327521,Medwin_Clay,
1.8971108049814198,-63.13576114585304,Medwin_Clay,
1.9014855569772404,-63.1018423079515,Medwin_Clay,
1.9058703971845532,-63.067869259091694,Medwin_Clay,
1.910265348866851,-63.033841696478675,Medwin_Clay,
1.9146704353412722,-62.999759314977084,Medwin_Clay,
1.919085679978725,-62.96562180708668,Medwin_Clay,
1.9235111062040107,-62.931428862917464,Medwin_Clay,
1.9279467374959485,-62.89718017016451,Medwin_Clay,
1.9323925973875,-62.86287541408243,Medwin_Clay,
1.9368487094658942,-62.828514277459576,Medwin_Clay,
1.9413150973727522,-62.79409644059177,Medwin_Clay,
1.9457917848042123,-62.759621581255885,Medwin_Clay,
1.9502787955110579,-62.725089374682895,Medwin_Clay,
1.9547761532988397,-62.69049949353069,Medwin_Clay,
1.9592838820280059,-62.65585160785641,Medwin_Clay,
1.9638020056140266,-62.621145385088575,Medwin_Clay,
1.9683305480275206,-62.58638048999872,Medwin_Clay,
1.972869533294384,-62.55155658467267,Medwin_Clay,
1.977418985495916,-62.51667332848144,Medwin_Clay,
1.9819789287689482,-62.48173037805181,Medwin_Clay,
1.9865493873059714,-62.44672738723636,Medwin_Clay,
1.9911303853552647,-62.41166400708324,Medwin_Clay,
1.9957219472210237,-62.37653988580548,Medwin_Clay,
2.0003240972634897,-62.34135466874983,Medwin_Clay,
2.0049368598990793,-62.30610799836527,Medwin_Clay,
2.0095602596005127,-62.27079951417102,Medwin_Clay,
2.0141943208969457,-62.23542885272411,Medwin_Clay,
2.0188390683740973,-62.19999564758663,Medwin_Clay,
2.0234945266743813,-62.16449952929231,Medwin_Clay,
2.028160720497039,-62.128940125312795,Medwin_Clay,
2.0328376745982655,-62.093317060023466,Medwin_Clay,
2.037525413791346,-62.05762995466869,Medwin_Clay,
